Arousal,Valence
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
52,53
53,53
54,53
55,53
56,53
57,53
58,53
59,53
60,53
61,53
62,53
63,53
64,53
65,53
66,53
68,53
70,53
72,53
74,53
75,53
76,53
76,53
76,53
76,53
76,53
76,53
76,53
76,54
76,55
76,56
76,57
76,58
76,59
76,60
76,61
76,62
76,63
76,64
76,65
76,66
76,67
76,68
77,69
78,70
78,71
78,72
78,73
78,74
78,75
78,76
78,77
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
78,78
79,78
80,78
81,78
82,78
83,78
84,78
85,78
86,78
87,78
89,78
90,78
91,78
92,78
93,78
94,78
95,78
96,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,78
97,79
97,80
97,81
97,82
97,84
97,86
97,88
97,90
97,92
97,94
97,96
97,98
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,100
97,99
97,98
97,97
97,96
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
97,95
